0,8.125
1,943.52
2,1567.27
3,1178.87
4,1572.7
5,1539.09
6,1571.5
7,1420.14
8,1360.62
9,1293.27
10,1318.32
11,1159.2
12,1323.17
13,1015.4
14,1322.32
16,971.492
17,1153.12
18,1576.62
19,971.383
20,1574.88
21,1545.89
22,1547.48
23,1391.13
24,1315.54
25,1237.65
26,1326.07
27,1103.06
28,1324.23
29,973.484
30,1260.74
32,1579.61
33,974.375
34,1577.88
35,1523.75
36,1516.34
37,1340.34
38,1326.11
39,1138.49
40,1328.99
41,977.438
42,1261.63
43,1458.92
44,1005.23
45,1582.48
47,1334.56
48,1580.73
49,1508.47
50,1545.47
51,1409.58
52,1330.36
53,1272.48
54,1331.95
55,1156.06
56,1330.12
57,996.746
58,1332.96
59,981.406
60,1147.13
61,1583.76
63,983.258
64,1586.51
65,1479.26
66,1584.67
67,1456.42
68,1402.64
