Time,RSS_KB,VSZ_KB
1748514454,5504,25356
1748514455,200620,577920
1748514456,588588,970656
1748514457,953260,1339252
1748514458,1223468,1613320
1748514459,1419436,1811104
1748514460,1626924,2021468
1748514461,1752492,2148868
1748514462,1811244,2208716
1748514463,1889708,2287828
1748514464,1963948,2363088
1748514465,2006956,2406500
1748514466,2104876,2505904
1748514467,2171692,2573456
1748514468,2226604,2629452
1748514469,2312620,2716272
1748514471,2383276,2787676
1748514472,2442028,2847524
1748514473,2520492,2926636
1748514474,2583084,2990336
1748514475,2598828,3005752
1748514476,2634028,3041456
1748514477,2669356,3077156
1748514478,2700716,3109008
1748514479,2735916,3144712
1748514480,2771244,3180416
1748514481,2790956,3200704
1748514482,2818348,3228700
1748514483,2853804,3264404
1748514484,2888876,3300108
1748514485,2920108,3331960
1748514486,2955308,3367664
1748514488,2986668,3398488
1748514489,3006124,3418780
1748514490,3037484,3450628
1748514491,3072812,3486332
1748514492,3108268,3522036
1748514493,3143596,3557740
1748514494,3174828,3589588
1748514495,3190572,3605004
1748514496,3221932,3636852
1748514497,3253292,3668704
1748514498,3284652,3700552
1748514499,3319980,3736256
1748514500,3355180,3771960
1748514501,3378732,3796104
1748514502,3402156,3819224
1748514503,3433516,3851072
1748514505,3468588,3886776
1748514506,3504172,3922480
1748514507,3535532,3954328
1748514508,3570732,3990032
1748514509,3582636,4002616
1748514510,3617836,4038320
1748514511,3649196,4070172
1748514512,3684396,4105872
1748514513,3719724,4141576
1748514514,3750956,4172404
1748514515,3770668,4192692
