Time,RSS_KB,VSZ_KB
1748514569,3770476,4167724
1748514570,3805164,4202540
1748514571,3855340,4253740
1748514572,3883500,4282412
1748514574,3911916,4311084
1748514575,3937388,4337708
1748514576,3965164,4365356
1748514577,3993324,4394028
1748514578,4040428,4442156
1748514579,4081388,4483116
1748514580,4109420,4511788
1748514581,4134636,4537388
1748514582,4162796,4566060
1748514583,4191084,4594732
1748514584,4219244,4623404
1748514586,4275820,4680748
1748514587,4303980,4709420
1748514588,4332268,4738092
1748514589,4360428,4766764
1748514590,4388588,4795436
1748514591,4416748,4824108
1748514592,4454636,4863020
1748514593,4511084,4920364
1748514594,4561260,4970540
1748514595,4589420,4999212
1748514596,4617580,5027884
1748514598,4642796,5053484
1748514599,4670956,5082156
1748514600,4699116,5110828
1748514601,4730604,5142572
1748514602,4758764,5171244
1748514603,4787052,5199916
1748514604,4815468,5228588
1748514605,4840300,5254188
1748514606,4871660,5286956
1748514607,4899948,5315628
1748514608,4956396,5372972
1748514610,5012972,5430316
1748514611,5069420,5487660
1748514612,5125996,5545004
1748514613,5180652,5600840
1748514614,5251180,5672248
1748514615,5321708,5743652
1748514616,5392236,5815060
1748514617,5462892,5886468
1748514618,5533420,5957876
1748514619,5600108,6025428
1748514620,5658860,6084252
1748514622,5741292,6168240
1748514623,5811564,6239648
1748514624,5882220,6311056
1748514625,3350156,3739896
1748514626,1218896,1574956
1748514627,1218896,1574956
1748514628,1254608,1611820
1748514629,1311056,1669164
1748514630,1364432,1723436
1748514631,1420880,1780780
1748514632,1477328,1838124
1748514634,1533904,1895468
1748514635,1590352,1952812
1748514636,1646800,2010156
1748514637,1702096,2066476
1748514638,1756496,2121772
1748514639,1813200,2179116
1748514640,1869648,2236460
1748514641,1926096,2293804
1748514642,1982416,2351148
1748514643,2038864,2408492
1748514644,2092368,2462764
1748514646,2148688,2520108
1748514647,2205136,2577452
