Time,RSS_KB,VSZ_KB
1748514152,9344,28072
1748514153,890364,1241572
1748514154,2083068,2448804
1748514155,3216252,3596192
1748514156,4110460,4502384
1748514157,5286780,5693320
1748514159,5925244,6340080
1748514160,1093352,1433644
1748514161,1103976,1443884
1748514162,1185384,1526828
1748514163,1241960,1584172
1748514164,1298152,1641516
1748514165,1351528,1695788
1748514166,1411304,1756204
1748514167,1445736,1792044
1748514168,1498984,1845292
1748514169,1539816,1887276
1748514170,1574248,1922092
1748514171,1612008,1959980
1748514172,1649640,1998892
1748514173,1684200,2033708
1748514175,2233192,2591788
1748514176,3177448,3551276
1748514177,3629160,4010028
1748514178,4607080,5003308
1748514179,5642088,6053424
1748514180,5682152,6094004
1748514181,2583608,2945516
1748514182,1703144,2053164
1748514183,1737320,2087980
1748514184,1775208,2125868
1748514185,1822184,2173996
1748514187,1859944,2211884
1748514188,1897576,2250796
1748514189,1932008,2285612
1748514190,1969640,2323500
1748514191,2007400,2362412
1748514192,2045160,2400300
1748514193,2079848,2436140
1748514194,2117096,2474028
1748514195,2154728,2511916
1748514196,2192232,2549804
1748514197,2228712,2586668
1748514198,2264552,2623532
1748514199,2302312,2661420
1748514201,3061992,3433516
1748514202,3515752,3894316
1748514203,4488936,4883500
1748514204,5342184,5750336
1748514205,5858676,6273516
1748514206,1106888,1446956
1748514207,2023112,2377772
1748514208,2989384,3359788
1748514209,3447496,3824684
1748514210,4420040,4812844
1748514211,5424200,5833304
1748514212,5549236,5958124
1748514213,1185592,1526828
1748514215,2126648,2483244
1748514216,3080376,3451948
1748514217,3519800,3898412
1748514218,4492344,4886572
1748514219,5498296,5907780
1748514220,5384048,5790188
1748514221,1207720,1549356
1748514222,2126888,2483244
1748514223,3094312,3466284
1748514224,3522984,3901484
1748514225,4489256,4883500
1748514226,5482408,5891344
1748514227,5436660,5843436
1748514228,1208884,1551404
1748514229,2155188,2511916
1748514231,3118388,3490860
1748514232,3575732,3955756
1748514233,4561588,4957228
1748514234,5596468,6007184
1748514235,4915616,5314028
1748514236,1302048,1645612
1748514237,2258848,2617388
1748514238,3226528,3600428
1748514239,3658016,4038700
1748514240,4624288,5020716
1748514241,5631776,6042888
1748514242,5678752,6090152
1748514243,2720336,3083756
1748514245,1744980,2095148
1748514246,2676308,3041324
1748514247,3441876,3819564
1748514248,4080596,4467756
1748514249,5035604,5438508
1748514250,5679060,6090152
1748514251,2909992,3276268
1748514252,1715104,2065452
1748514253,2647840,3012652
1748514254,3441952,3819564
1748514255,4041248,4427820
1748514256,5005472,5407788
1748514257,5679264,6090152
1748514259,2857700,3224044
1748514260,1155492,1496108
1748514261,1217572,1559596
1748514262,1271076,1613868
1748514263,1327396,1671212
1748514264,1380644,1725484
1748514265,1437220,1782828
1748514266,1493540,1840172
1748514267,1546916,1894444
1748514268,1603364,1951788
1748514269,1659812,2009132
1748514270,1713188,2063404
1748514271,1769636,2120748
1748514273,1826084,2178092
1748514274,1879460,2232364
1748514275,1935908,2289708
1748514276,1989284,2343980
1748514277,2045732,2401324
1748514278,2102180,2458668
1748514279,2155556,2512940
1748514280,2211876,2570284
1748514281,2268452,2627628
1748514282,2321956,2681900
1748514283,2378404,2739244
1748514284,2431652,2793516
1748514285,2488100,2850860
1748514287,2543012,2906156
1748514288,2597924,2962476
1748514289,2654500,3019820
1748514290,2707876,3074092
1748514291,2764068,3131436
1748514292,2817572,3184684
1748514293,2874020,3242028
1748514294,2930212,3300396
1748514295,2983716,3353644
1748514296,3040292,3410988
1748514297,3096996,3468332
1748514298,3150244,3522604
1748514299,3206692,3579948
1748514301,3259940,3634220
1748514302,3316260,3691564
1748514303,3370404,3746860
1748514304,3425956,3803180
1748514305,3463716,3842092
1748514306,3536036,3914796
1748514307,3592356,3972140
1748514308,3648932,4029484
1748514309,3702180,4083756
1748514310,3758628,4141100
1748514311,3812132,4195372
1748514312,3868324,4252716
1748514313,3921700,4306988
1748514314,3978276,4364332
1748514316,4034724,4421676
1748514317,4087972,4475948
1748514318,4144548,4533292
1748514319,4197924,4587564
1748514320,4254372,4644908
1748514321,4309796,4701228
1748514322,4364068,4756524
1748514323,4420772,4813868
1748514324,4477220,4871212
1748514325,4530596,4925484
1748514326,4587044,4982828
1748514327,4643364,5040172
1748514328,4696740,5094444
1748514330,4753188,5151788
1748514331,4809764,5209132
1748514332,4863140,5263404
1748514333,4919588,5320748
1748514334,4972836,5375020
1748514335,5029412,5432364
1748514336,5085860,5489708
1748514337,5139236,5543980
1748514338,5197092,5602888
1748514339,5263652,5670440
1748514340,5334052,5741848
1748514341,5404708,5813256
1748514343,5471524,5880808
1748514344,5541668,5952216
1748514345,5612452,6023624
1748514346,5671076,6082444
1748514347,5749540,6162584
1748514348,5816100,6229112
1748514349,5886628,6301544
1748514350,4005664,4390380
1748514351,1163280,1504300
1748514352,1198864,1541164
1748514353,1255312,1598508
1748514354,1311632,1655852
1748514355,1365136,1710124
1748514357,1421584,1767468
1748514358,1474832,1820716
1748514359,1531280,1878060
1748514360,1587600,1936428
1748514361,1641104,1989676
1748514362,1697552,2047020
1748514363,1750928,2101292
1748514364,1807632,2158636
1748514365,1863952,2215980
1748514366,1917328,2270252
1748514367,1973648,2327596
1748514368,2026896,2381868
1748514369,2083472,2439212
1748514371,2140048,2496556
1748514372,2193424,2550828
1748514373,2249872,2608172
1748514374,2306320,2665516
1748514375,2359696,2719788
1748514376,2416144,2777132
1748514377,2582288,2946092
1748514378,2748560,3115052
1748514379,2896144,3264556
1748514380,3065616,3436588
1748514381,3180560,3554348
1748514382,3441936,3819564
1748514383,3617680,3997740
1748514385,3689744,4071468
1748514386,3743120,4125740
1748514387,3802896,4186156
1748514388,3859344,4243500
1748514389,3915664,4300844
1748514390,3966992,4358188
1748514391,4020368,4413484
1748514392,4075152,4469804
1748514393,4131728,4527148
1748514394,4187536,4583468
1748514395,4241552,4638764
1748514396,5144976,5556268
1748514397,5672464,6091176
1748514399,2505256,2872812
1748514400,1772740,2129964
1748514401,2484676,2853932
1748514402,2578628,2949164
1748514403,2663364,3035180
1748514404,2763972,3137580
1748514405,2848708,3223596
1748514406,2949060,3325996
1748514407,3008580,3386412
1748514408,3105860,3484716
1748514409,3218884,3599404
1748514410,3275332,3656748
1748514412,3338052,3721260
1748514413,3391300,3774508
1748514414,3435332,3819564
1748514415,3504324,3889196
1748514416,3814084,4204588
1748514417,4746692,5151788
1748514418,5672388,6091176
1748514419,4237960,4633068
1748514420,1459024,1811500
1748514421,2393680,2761772
1748514422,3369552,3753004
1748514423,3814992,4205612
1748514424,4787664,5193772
1748514426,5672656,6091176
1748514427,5788240,6208820
1748514428,1741392,2096620
1748514429,1926528,2286636
1748514430,2889728,3265580
1748514431,3435520,3819564
1748514432,4244992,4641836
1748514433,5202944,5616252
1748514434,5772544,6192384
1748514435,1727396,2082284
1748514436,1938420,2298924
1748514437,2911732,3288108
1748514439,3435636,3819564
1748514440,4327412,4725804
1748514441,5292660,5706144
1748514442,5856500,6277400
1748514443,1409916,1759724
1748514444,2002604,2364460
1748514445,2974508,3351596
1748514446,3435692,3819564
1748514447,4414508,4813868
1748514448,5438508,5853592
1748514449,5628304,6044920
1748514450,1210692,1559596
1748514452,2143300,2506796
1748514453,3142084,3521580
1748514454,3593028,3979308
1748514455,4576964,4979756
1748514456,5567940,5984848
1748514457,5158512,5567736
1748514458,1299372,1649708
1748514459,2267692,2633772
1748514460,3252652,3634220
1748514461,3681836,4070444
1748514462,4634284,5038124
1748514464,5654444,6073472
1748514465,4705884,5107960
1748514466,1362268,1713196
1748514467,2356828,2723884
1748514468,3351388,3734572
1748514469,3805276,4195372
1748514470,4759260,5164076
1748514471,5674076,6091956
1748514472,5705436,6123808
1748514473,2076584,2436344
1748514474,1218412,1566764
1748514475,1218412,1566764
1748514477,1218412,1566764
1748514478,1218412,1566764
1748514479,1218412,1566764
1748514480,1243372,1592364
1748514481,1277804,1627180
1748514482,1312236,1663020
1748514483,1340524,1691692
1748514484,1368684,1720364
1748514485,1396844,1749036
1748514486,1425004,1777708
1748514487,1453292,1806380
1748514489,1493996,1847340
1748514490,1522284,1876012
1748514491,1550572,1904684
1748514492,1578732,1933356
1748514493,1607148,1962028
1748514494,1635308,1990700
1748514495,1679212,2035756
1748514496,1704428,2061356
1748514497,1729388,2086956
1748514498,1757676,2115628
1748514499,1785836,2144300
1748514501,1814124,2172972
1748514502,1858028,2217004
1748514503,1886316,2245676
1748514504,1914476,2274348
1748514505,1942636,2303020
1748514506,1970924,2331692
1748514507,1999212,2360364
1748514508,2036844,2399276
1748514509,2072940,2435116
1748514510,2099564,2462764
1748514511,2127852,2491436
1748514512,2156012,2520108
1748514514,2184172,2548780
1748514515,2212588,2577452
1748514516,2259436,2625580
1748514517,2287852,2654252
1748514518,2319212,2685996
1748514519,2344172,2711596
1748514520,2372460,2740268
1748514521,2400748,2768940
1748514522,2447852,2816044
1748514523,2476012,2844716
1748514525,2504172,2873388
1748514526,2532332,2902060
1748514527,2560492,2930732
1748514528,2588908,2959404
1748514529,2629612,3001388
1748514530,2664300,3036204
1748514531,2692588,3064876
1748514532,2720748,3093548
1748514533,2749036,3122220
1748514534,2777196,3150892
1748514535,2808684,3182636
1748514537,2855916,3230764
1748514538,2884076,3259436
1748514539,2912236,3288108
1748514540,2940268,3316780
1748514541,2968684,3345452
1748514542,2996844,3374124
1748514543,3044076,3422252
1748514544,3075308,3453996
1748514545,3103596,3482668
1748514546,3131884,3511340
1748514547,3160044,3540012
1748514549,3185132,3565612
1748514550,3222892,3603500
1748514551,3266540,3648556
1748514552,3294828,3677228
1748514553,3323116,3705900
1748514554,3351404,3734572
1748514555,3379564,3763244
1748514556,3400428,3791916
1748514557,3422444,3814444
1748514558,3463148,3855404
1748514559,3491436,3884076
1748514560,3519724,3912748
1748514562,3548140,3941420
1748514563,3576172,3970092
1748514564,3626220,4021292
1748514565,3657580,4053036
1748514566,3685740,4081708
1748514567,3714284,4110380
1748514568,3742316,4139052
